,행정구역,sig_cd,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화,지역별중증사망수치,정규화사망수치,emci
72,강원도 양구군,42800,7.472088304,7.769230776000001,1.0,0.0,1.846153848,0.31840796,6.909543968,214.5,0.631286267,25.315424856
73,충청남도 홍성군,44800,5.7391586,9.192307704000001,0.0,0.0,4.307692304,0.477611944,5.738148832,185.5,0.437137331,25.454919384
74,전라남도 담양군,46710,7.578428072,11.34615384,0.0,0.0,3.07692308,0.557213928,2.993951104,278.59999999999997,0.156189555,25.552670024
75,전라남도 화순군,46790,6.737975112,8.307692304,1.5,0.0,1.846153848,2.467661688,4.793681568,215.2,0.20188588,25.65316452
76,충청남도 공주시,44150,5.291375464,9.269230776,0.0,0.0,5.538461536,0.557213928,5.072602048,234.5,0.582930368,25.728883751999998
77,전라북도 남원시,45190,6.419753088,9.961538472,0.5,0.0,4.92307692,0.597014928,3.550261088,217.1,0.488636364,25.951644496
78,충청북도 충주시,43130,3.156009016,6.153846144,2.0,0.0,6.153846152,0.517412936,8.105010784,163.39999999999998,0.75483559,26.086125031999998
79,경상북도 칠곡군,47850,7.531188104,5.961538464,0.0,0.0,3.07692308,0.119402984,10.138895648,176.2,0.340183752,26.82794828
80,강원도 속초시,42210,7.997109792,7.9615384559999995,0.5,0.0,1.230769232,0.517412936,8.66730768,160.7,0.761363636,26.874138096
81,경상북도 경주시,47130,0.768596376,7.846153848,5.0,0.0,7.384615384,0.437810944,6.034645504,210.0,0.919245648,27.471822055999997
82,울산광역시 울주군,31710,4.694995704,6.384615384,2.0,0.0,3.07692308,0.159203984,11.629232992,150.79999999999998,0.785299807,27.944971144
83,부산광역시 중구,26110,8.0,4.999999992,1.0,0.0,3.07692308,2.427860696,8.594643296,303.7,0.415618956,28.099427063999997
84,전라남도 나주시,46170,6.687147288,6.961538472000001,1.0,0.0,4.307692304,0.676616912,8.783575296,204.9,0.476305609,28.416570272
85,경상북도 안동시,47170,5.248022328,7.538461536,2.5,0.0,6.769230768,0.756218904,5.753840704,216.1,0.434961315,28.565774240000003
86,대구광역시 서구,27170,8.0,4.192307688,3.5,0.0,6.153846152,0.63681592,6.697415424,191.5,0.686895551,29.180385184
87,경기도 안성시,41550,5.529169936,8.461538472,1.5,0.0,3.692307696,0.278606968,11.174341792,195.7,0.676740812,30.635964863999998
88,울산광역시 동구,31170,7.99910304,5.846153856,0.5,0.0,1.230769232,1.114427864,13.980753152,127.3,0.842117988,30.671207144
89,충청북도 진천군,43750,6.39782736,9.076923072,0.5,0.0,3.07692308,0.278606968,11.5483448,154.5,0.776353965,30.87862528
90,대구광역시 달성군,27710,1.838472176,7.5,2.0,0.0,2.461538464,0.199004976,17.320957536,111.5,0.880319149,31.319973152000003
91,경상북도 경산시,47290,3.704650496,8.15384616,3.0,0.0,3.07692308,0.398009952,13.019488288,177.3,0.0,31.352917976
