행정구역,sig_cd,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화
경기도 의정부시,41150,0.999738386,0.415064103,0.425,0.345828753,0.615384615,0.104477612,0.527997783
경기도 부천시,41190,1,0.575320513,0.5,0.267065914,0.692307692,0.104477612,0.56152081
경기도 광명시,41210,1,0.58974359,0.125,0.249668347,0.230769231,0.074626866,0.538568024
경기도 평택시,41220,0.960733017,0.375,0.35,0.303339272,0.384615385,0.044776119,0.717341673
경기도 동두천시,41250,0.991329372,0.104166667,0,0.68161316,0.153846154,0.049751244,0.266028726
경기도 구리시,41310,1,0.5625,0.2,0.19584581,0.153846154,0.144278607,0.56268558
경기도 남양주시,41360,0.84637042,0.493589744,0.4,0.423530304,0.769230769,0.029850746,0.495183361
경기도 오산시,41370,1,0.378205128,0.225,0.254785278,0.230769231,0.049751244,0.838470729
경기도 시흥시,41390,1.00E+00,0.394230769,0.2,0.263768336,0.461538462,0.034825871,0.85529628
경기도 군포시,41410,1,0.75,0.1,0.307584429,0.230769231,0.064676617,0.57632148
경기도 의왕시,41430,0.989672484,0.666666667,0,0.422923852,0.153846154,0.019900498,0.570886804
경기도 하남시,41450,0.946942233,0.607371795,0.15,0.299624758,0.230769231,0.039800995,0.707749448
경기도 파주시,41480,0.750582402,0.423076923,0.35,0.431679491,0.769230769,0.029850746,0.562536337
경기도 이천시,41500,0.440831683,0.405448718,0.1,0.348557783,0.384615385,0.039800995,0.518248081
경기도 안성시,41550,0.691146242,0.352564103,0.075,0.526134253,0.461538462,0.034825871,0.349198181
경기도 김포시,41570,0.789949048,0.621794872,0.425,0.31482394,0.692307692,0.049751244,0.620030153
경기도 화성시,41590,0.50701997,0.541666667,0.4,0.225903044,1,0.044776119,1
경기도 광주시,41610,0.609373248,0.498397436,0.05,0.51150362,0.538461538,0.014925373,0.522679812
경기도 양주시,41630,0.565260181,0.341346154,0.125,0.598794678,0.538461538,0.039800995,0.441799473
경기도 포천시,41650,0.650558732,0.171474359,0.075,0.606375317,0.769230769,0.039800995,0.236415058
경기도 여주시,41730,0.6279852,0.237179487,0.025,0.555243907,0.384615385,0.049751244,0.218553847
경기도 가평군,41820,0.643943641,0.1875,0.025,0.585452754,0.307692308,0.039800995,0.131740051
강원도 춘천시,42110,0.823684768,0.471153846,0.1,0.379676307,0.692307692,0.119402985,0.401087707
강원도 원주시,42130,0.429744241,0.373397436,0.475,0.29916992,1,0.114427861,0.472074291
강원도 동해시,42170,0.965653848,0.251602564,0.05,0.509684266,0.307692308,0.044776119,0.212619869
강원도 태백시,42190,0.895528896,0.225961538,0.025,0.701474434,0.153846154,0.039800995,0.111116184
강원도 속초시,42210,0.999638724,0.331730769,0.025,0.343933594,0.153846154,0.064676617,0.270853365
강원도 삼척시,42230,0.734648877,0.264423077,0.025,0.759921161,0.692307692,0.034825871,0.154789302
강원도 홍천군,42720,0.715052759,0.126602564,0.05,0.625630141,0.692307692,0.044776119,0.106691353
강원도 횡성군,42730,0.768434428,0.241987179,0,0.824735625,0.538461538,0.024875622,0.063615237
강원도 영월군,42750,0.836404181,0.168269231,0.025,0.911230717,0.538461538,0.029850746,0.069869392
강원도 정선군,42770,0.830424437,0.115384615,0.025,0.834590456,0.538461538,0.014925373,0.066222576
강원도 철원군,42780,0.630327266,0.004807692,0,0.595155972,0.230769231,0.029850746,0.185211791
강원도 양구군,42800,0.934011038,0.323717949,0.05,0.582647917,0.230769231,0.039800995,0.215923249
강원도 인제군,42810,0.832442601,0.147435897,0,0.680362355,0.307692308,0.009950249,0.231295344
강원도 고성군,42820,0.778026934,0.092948718,0.1,0.855778342,0.153846154,0,0.09805127
충청북도 충주시,43130,0.394501127,0.256410256,0.1,0.461319789,0.769230769,0.064676617,0.253281587
충청북도 제천시,43150,0.832891081,0.229166667,0.05,0.433119812,0.384615385,0.064676617,0.207148472
충청북도 보은군,43720,0.857781764,0.27724359,0,0.614448698,0.230769231,0.059701493,0.029619835
충청북도 옥천군,43730,0.839306848,0.195512821,0,0.56547777,0.307692308,0.049751244,0.075589806
충청북도 영동군,43740,0.802307184,0.245192308,0,0.566652769,0.384615385,0.059701493,0.053624709
충청북도 진천군,43750,0.79972842,0.378205128,0.025,0.422999659,0.384615385,0.034825871,0.360885775
충청북도 괴산군,43760,0.778986184,0.144230769,0.025,0.77496873,0.384615385,0.039800995,0.020766352
충청북도 음성군,43770,0.51981413,0.088141026,0.025,0.483720578,0.461538462,0.044776119,0.188882319
충청남도 공주시,44150,0.661421933,0.386217949,0,0.513095554,0.692307692,0.069651741,0.158518814
충청남도 보령시,44180,0.599593876,0.293269231,0.05,0.54425198,0.538461538,0.044776119,0.124896993
충청남도 아산시,44200,0.581243538,0.344551282,0.175,0.377553728,0.692307692,0.039800995,0.58482872
충청남도 서산시,44210,0.569844651,0.573717949,0.05,0.504264109,0.615384615,0.034825871,0.280209051
충청남도 논산시,44230,0.722988377,0.259615385,0.05,0.48849638,0.615384615,0.089552239,0.132945652
충청남도 계룡시,44250,0.684319368,0.613782051,0,0.333775537,0,0.024875622,0.521913585
충청남도 금산군,44710,0.837276227,0.283653846,0,0.56453019,0.307692308,0.059701493,0.055941805
충청남도 부여군,44760,0.738099687,0.296474359,0,0.677974453,0.307692308,0.049751244,0.039438715
충청남도 서천군,44770,0.855863263,0.317307692,0,0.6725922,0.384615385,0.054726368,0.027208408
충청남도 홍성군,44800,0.717394825,0.383012821,0,0.543797142,0.538461538,0.059701493,0.179317151
충청남도 예산군,44810,0.705248471,0.403846154,0.05,0.663495433,0.307692308,0.039800995,0.086121226
충청남도 당진시,44830,0.5867748,0.524038462,0.1,0.472614941,0.769230769,0.029850746,0.268399655
전라북도 군산시,45130,0.871497801,0.346153846,0.2,0.400939999,0.923076923,0.069651741,0.277784891
전라북도 익산시,45140,0.547981214,0.368589744,0.2,0.398779517,1,0.119402985,0.282552644
전라북도 정읍시,45180,0.722452692,0.296474359,0.1,0.456771406,0.461538462,0.064676617,0.11858142
전라북도 남원시,45190,0.802469136,0.415064103,0.025,0.441648031,0.615384615,0.074626866,0.110945659
전라북도 김제시,45210,0.786460864,0.233974359,0.075,0.53238828,0.307692308,0.069651741,0.09411581
전라북도 완주군,45710,0.456379016,0.384615385,0.025,0.515445552,0.538461538,0.044776119,0.215382651
전라북도 진안군,45720,0.851278793,0.190705128,0.025,0.637683357,0.230769231,0.059701493,0.038524417
전라북도 순창군,45770,0.902168903,0.176282051,0,0.456013342,0.230769231,0.074626866,0.054884049
전라북도 고창군,45790,0.780705361,0.282051282,0.025,0.576735019,0.307692308,0.064676617,0.044783651
전라북도 부안군,45800,0.821940676,0.301282051,0.1,0.605465641,0.384615385,0.069651741,0.056849683
