시군구명,시군구코드,,순환계통 사망자 수,순환계통 10만명당 사망률,순환계통 연령 표준화 사망률(10만명당),운수사고 사망자 수,운수사고 10만명당 사망률,운수사고 연령 표준화 사망률(10만명당),낙상 사망자수  ,낙상 10만명당 사망률,낙상 연령 표준화 사망률(10만명당),,,,,,,,
경상북도 포항시 남구,47111,,312,136,61.3,19,8.3,6.3,14,6.1,3.8,,,,,,,,
경상북도 포항시 북구,47113,,374,137.7,57.7,25,9.2,6.3,19,7,4.1,,,,,,,,
광주광역시 광산구,29200,,289,71.6,49.4,20,5,4.4,10,2.5,1.9,,,,,,,,
광주광역시 남구,29155,,217,101.4,41.9,10,4.7,2.8,17,7.9,4.7,,,,,,,,
광주광역시 동구,29110,,129,126.6,44.5,5,4.9,2,5,4.9,1.9,,,,,,,,
광주광역시 북구,29170,,458,107.3,54.7,15,3.5,2.3,14,3.3,1.9,,,,,,,,
광주광역시 서구,29140,,263,89.9,43.9,14,4.8,3.5,7,2.4,1.4,,,,,,,,
대구광역시 남구,27200,,256,178.8,57.8,5,3.5,2.6,12,8.4,3.1,,,,,,,,
대구광역시 달서구,27290,,570,103.7,54.7,25,4.6,3.7,20,3.6,2,,,,,,,,
대구광역시 달성군,27710,,269,103.4,58,12,4.6,3.4,9,3.5,2.6,,,,,,,,
대구광역시 동구,27140,,515,151.8,63,26,7.7,6,22,6.5,3.3,,,,,,,,
대구광역시 북구,27230,,493,112.9,55.3,20,4.6,3.3,21,4.8,2.6,,,,,,,,
대구광역시 서구,27170,,289,174.1,66,13,7.8,6.4,16,9.6,5.1,,,,,,,,
대구광역시 수성구,27260,,476,113.8,49.1,13,3.1,2.3,18,4.3,2.4,,,,,,,,
대구광역시 중구,27110,,136,182.6,72.6,4,5.4,3.1,4,5.4,1.8,,,,,,,,
대전광역시 대덕구,30230,,163,93.3,47,11,6.3,4.9,11,6.3,3.8,,,,,,,,
대전광역시 동구,30110,,242,109.5,45.6,13,5.9,2.7,23,10.4,6.1,,,,,,,,
대전광역시 서구,30170,,312,66,36.9,19,4,3.6,20,4.2,2.7,,,,,,,,
대전광역시 유성구,30200,,184,52.6,35.6,20,5.7,5.2,13,3.7,3.2,,,,,,,,
대전광역시 중구,30140,,232,100.4,39.7,17,7.4,6.6,14,6.1,2.6,,,,,,,,
부산광역시 강서구,26440,,129,92.3,60.8,11,7.9,6.5,2,1.4,0.8,,,,,,,,
부산광역시 금정구,26410,,398,174.1,65.2,16,7,5.4,11,4.8,2.5,,,,,,,,
부산광역시 기장군,26710,,250,142.7,68.3,11,6.3,6.6,17,9.7,6.5,,,,,,,,
부산광역시 남구,26290,,408,155.3,63.5,11,4.2,3.7,19,7.2,3.7,,,,,,,,
부산광역시 동구,26170,,199,228.9,70.6,4,4.6,4.9,9,10.4,5,,,,,,,,
부산광역시 동래구,26260,,372,139.5,61.2,16,6,5.5,13,4.9,2.3,,,,,,,,
부산광역시 부산진구,26230,,580,164.3,66.7,15,4.2,3.3,22,6.2,3.4,,,,,,,,
부산광역시 북구,26320,,402,142.5,65.2,15,5.3,4.8,13,4.6,2.4,,,,,,,,
부산광역시 사상구,26530,,349,167.2,77.8,17,8.1,5.1,15,7.2,4,,,,,,,,
부산광역시 사하구,26380,,508,165.6,74.9,14,4.6,3.3,27,8.8,4.7,,,,,,,,
부산광역시 서구,26140,,245,233.1,72.6,11,10.5,5,16,15.2,8.1,,,,,,,,
부산광역시 수영구,26500,,289,165.7,62.9,3,1.7,1.6,5,2.9,1.6,,,,,,,,
부산광역시 연제구,26470,,287,138.9,58.5,3,1.5,0.7,14,6.8,3,,,,,,,,
부산광역시 영도구,26200,,313,283,88.3,17,15.4,9.7,15,13.6,5.9,,,,,,,,
부산광역시 중구,26110,,117,291.2,107.9,2,5,6.6,3,7.5,3,,,,,,,,
부산광역시 해운대구,26350,,566,143,62.5,14,3.5,2.8,9,2.3,1.3,,,,,,,,
서울특별시 강남구,11680,,356,67.7,37.8,11,2.1,1.8,6,1.1,0.8,,,,,,,,
서울특별시 강동구,11740,,354,77.6,42.1,14,3.1,2.2,16,3.5,2.1,,,,,,,,
