,행정구역,sig_cd,구급차출동시간,기대수명,병원수,보건시설,구급차,의사수,지방소멸지수
115,충청남도 서천군,44770,"11,570",82.87,1,202.54,7,2.1,0.137198361
116,충청남도 홍성군,44800,"22,685",83.28,1,168.56,9,2.2,0.323937571
117,충청남도 예산군,44810,"23,660",83.41,3,200.14,6,1.8,0.20952381
118,충청남도 당진시,44830,"33,170",84.16,5,149.78,12,1.6,0.433301413
119,전라북도 군산시,45130,"10,315",83.05,9,130.87,14,2.4,0.444823377
120,전라북도 익산시,45140,"36,284",83.19,9,130.3,15,3.4,0.4506766
121,전라북도 정읍시,45180,"22,279",82.74,5,145.6,8,2.3,0.249374188
122,전라북도 남원시,45190,"15,856",83.48,2,141.61,10,2.5,0.24
123,전라북도 김제시,45210,"17,141",82.35,4,165.55,6,2.4,0.219338514
124,전라북도 완주군,45710,"43,637",83.29,2,161.08,9,1.9,0.368214072
125,전라북도 진안군,45720,"11,938",82.08,2,193.33,5,2.2,0.151090676
126,전라북도 순창군,45770,"7,853",81.99,1,145.4,5,2.5,0.171174892
127,전라북도 고창군,45790,"17,603",82.65,2,177.25,6,2.3,0.158774945
128,전라북도 부안군,45800,"14,293",82.77,5,184.83,7,2.4,0.17358804
129,전라남도 목포시,46110,424,81.68,22,123.56,8,3.3,0.537845812
130,전라남도 여수시,46130,"19,834",82.74,10,139.51,12,2.3,0.445671014
131,전라남도 순천시,46150,"15,543",83.77,24,115.33,14,2.8,0.636341299
132,전라남도 나주시,46170,"13,173",82.7,3,142.18,9,2.7,0.440774324
133,전라남도 광양시,46230,"7,829",83.68,5,115.06,6,1.5,0.711044671
134,전라남도 담양군,46710,"4,230",83.84,1,174.14,7,2.4,0.218657356
135,전라남도 고흥군,46770,"22,672",82.35,4,225.45,5,2.2,0.110514541
136,전라남도 보성군,46780,"8,227",82.68,2,229.42,5,2.6,0.124212648
137,전라남도 화순군,46790,"12,663",83.05,4,152.15,5,7.2,0.287703405
138,전라남도 장흥군,46800,"14,739",82.41,3,180.93,6,2.6,0.166172783
139,전라남도 강진군,46810,"9,322",83.15,1,190.8,7,2.6,0.16960388
140,전라남도 해남군,46820,"31,814",81.71,3,196.74,8,2.3,0.173588184
141,전라남도 영암군,46830,"15,402",82.44,2,161.25,5,1.7,0.253020847
142,전라남도 무안군,46840,"16,391",81.74,2,141.39,7,2.0,0.50846731
143,전라남도 함평군,46860,"11,912",82.63,2,191.05,4,2.6,0.139674449
144,전라남도 영광군,46870,"16,497",81.63,2,157.06,6,2.8,0.261187554
145,전라남도 장성군,46880,"8,433",82.73,2,204.69,3,1.8,0.21091456
146,전라남도 완도군,46890,"19,628",82.04,1,202.07,8,2.0,0.170269131
147,전라남도 진도군,46900,"11,107",80.89,2,172.66,5,2.1,0.17251462
148,전라남도 신안군,46910,"25,722",82.04,2,198.02,8,2.5,0.124354444
149,경상북도 경주시,47130,"72,559",82.93,11,184.99,14,2.1,0.335312565
150,경상북도 김천시,47150,"21,120",82.64,2,191.46,7,1.9,0.346188851
151,경상북도 안동시,47170,"27,613",82.85,6,160.99,13,2.9,0.324539584
152,경상북도 구미시,47190,"36,391",83.4,7,85.45,11,2.0,1.063944962
153,경상북도 영주시,47210,"12,620",83.04,5,186.7,6,2.3,0.243953558
154,경상북도 영천시,47230,"26,976",81.93,2,184.53,8,2.1,0.241616978
155,경상북도 상주시,47250,"29,535",82.64,3,193.68,9,2.1,0.186419141
156,경상북도 문경시,47280,"20,574",82.46,2,192.33,6,2.2,0.209613801
157,경상북도 경산시,47290,"43,099",83.01,7,132.42,7,2.0,0.603283689
158,경상북도 의성군,47730,"18,398",81.63,2,249.05,11,2.0,0.103795438
159,경상북도 영덕군,47770,"11,828",82.29,1,215.49,5,2.0,0.126839276
160,경상북도 청도군,47820,"14,960",82.02,2,222.94,4,2.2,0.121453226
161,경상북도 고령군,47830,"5,899",82.54,1,191.06,4,1.8,0.164487915
162,경상북도 성주군,47840,"10,768",82.12,1,205.18,4,2.0,0.157502637
163,경상북도 칠곡군,47850,"4,704",82.44,1,149.73,7,1.3,0.492770729
164,경상북도 예천군,47900,"26,623",84.41,1,219.61,6,1.7,0.235531629
165,경상북도 봉화군,47920,"16,733",82.95,1,288.92,5,1.5,0.110790774
166,경상북도 울진군,47930,"16,325",82.83,1,204.66,6,1.9,0.22394571
167,경상남도 진주시,48170,"22,061",83.28,18,111.84,11,3.4,0.575562111
168,경상남도 통영시,48220,"8,819",81.5,7,141.09,5,1.9,0.331835527
169,경상남도 사천시,48240,"8,482",82.67,4,168.01,8,2.1,0.320852405
170,경상남도 김해시,48250,"6,607",82.6,28,107.48,8,2.1,0.810217249
171,경상남도 밀양시,48270,"20,444",81.53,7,208.11,7,1.8,0.212529256
172,경상남도 거제시,48310,"13,234",82.78,9,110.29,9,1.5,0.695485559
173,경상남도 양산시,48330,"3,288",82.93,13,119.08,10,3.6,0.671573444
174,경상남도 의령군,48720,"11,459",81.96,1,198.15,4,1.5,0.129193502
175,경상남도 함안군,48730,"11,044",82.41,3,210.87,5,1.6,0.22447008
176,경상남도 창녕군,48740,"12,641",81.49,2,181.04,6,2.2,0.163316583
177,경상남도 고성군,48820,"11,779",81.42,2,214.86,5,1.8,0.162154311
178,경상남도 남해군,48840,"18,920",82.22,1,212.99,5,1.7,0.122524237
179,경상남도 함양군,48870,"11,893",82.63,1,189.15,6,1.8,0.153890573
180,경상남도 거창군,48880,"12,397",83.24,3,168.96,6,2.0,0.23610045
181,경상남도 합천군,48890,"22,985",81.67,1,207.63,7,2.2,0.111422958
