,Unnamed: 0,소방서명,구급차 대수,주소,시군구 코드,시군구 ,2023년03월_계_총인구수,순위,인구별구급차
135,167,전라남도 고흥소방서,5,전라남도 고흥군 풍양면 고흥로 1330,46770,전라남도 고흥군,61615,64.0,8.114907084313884e-05
136,173,전라남도 보성소방서,5,전라남도 보성군 벌교읍 녹색로 5247,46780,전라남도 보성군,38257,31.0,0.00013069503620252504
137,185,전라남도 화순소방서,5,전라남도 화순군 화순읍 학포로 2750,46790,전라남도 화순군,61801,65.0,8.09048397275125e-05
138,181,전라남도 장흥소방서,6,전라남도 장흥군 장흥읍 북부로 138,46800,전라남도 장흥군,35470,15.0,0.00016915703411333522
139,166,전라남도 강진소방서,7,전라남도 강진군 군동면 중앙로 223,46810,전라남도 강진군,33015,5.0,0.0002120248371952143
140,184,전라남도 해남소방서,8,전라남도 해남군 해남읍 교육청길 82,46820,전라남도 해남군,65485,35.0,0.00012216538138505
141,178,전라남도 영암소방서,5,전라남도 영암군 삼호읍 나불로 192,46830,전라남도 영암군,52491,52.0,9.525442456802118e-05
142,172,전라남도 무안소방서,7,전라남도 무안군 무안읍 공항로 133,46840,전라남도 무안군,90609,67.0,7.72550188171153e-05
143,183,전라남도 함평소방서,4,전라남도 함평군 대동면 학동로386,46860,전라남도 함평군,30770,32.0,0.00012999675008124796
144,177,전라남도 영광소방서,6,전라남도 영광군 영광읍 함영로 3508,46870,전라남도 영광군,52258,41.0,0.00011481495656167476
145,180,전라남도 장성소방서,3,전라남도 장성군 장성읍 단풍로 204,46880,전라남도 장성군,42948,76.0,6.985191394244202e-05
146,179,전라남도 완도소방서,8,전라남도 완도군 농공단지길7,46890,전라남도 완도군,47334,16.0,0.00016901170406050618
147,182,전라남도 진도소방서,5,전라남도 진도군 진도대로 6945,46900,전라남도 진도군,29363,14.0,0.00017028232809998978
148,175,전라남도 신안소방서,8,전라남도 신안군 암태면 단고리 973-6,46910,전라남도 신안군,37844,6.0,0.00021139414438220062
149,73,경상북도 경주소방서,14,경상북도 경주시 알천남로 276,47130,경상북도 경주시,248794,86.0,5.627145349164369e-05
150,76,경상북도 김천소방서,7,경상북도 김천시 강변로 219,47150,경상북도 김천시,139017,91.0,5.0353553881899334e-05
151,81,경상북도 안동소방서,13,경상북도 안동시 육사로 301,47170,경상북도 안동시,153993,60.0,8.44194216620236e-05
152,75,경상북도 구미소방서,11,경상북도 구미시 수출대로 112,47190,경상북도 구미시,407044,127.0,2.702410550210788e-05
153,83,경상북도 영주소방서,6,경상북도 영주시 문수면 적서로 448번길 17,47210,경상북도 영주시,100847,82.0,5.949606830148641e-05
154,84,경상북도 영천소방서,8,경상북도 영천시 호국로 187,47230,경상북도 영천시,100956,66.0,7.924244225207021e-05
155,79,경상북도 상주소방서,9,경상북도 상주시 상산로 322,47250,경상북도 상주시,94684,53.0,9.505301846140848e-05
156,77,경상북도 문경소방서,6,경상북도 문경시 중앙로 305,47280,경상북도 문경시,69881,59.0,8.586024813611712e-05
157,72,경상북도 경산소방서,7,경상북도 경산시 압량읍 김유신로 12,47290,경상북도 경산시,267717,130.0,2.6147013450770776e-05
158,87,경상북도 의성소방서,11,경상북도 의성군 봉양면 대로 4741,47730,경상북도 의성군,49954,4.0,0.0002202025863794691
