,시군구,sig_cd,구급차출동시간,기대수명,병원수,보건시설,구급차수,의사수,지방소멸,EMCI,EMCI순위
7,서울특별시 성북구,11290,20.0,27,170.0,72.5,174.0,51,62.0,576.5,132.0
8,서울특별시 강북구,11305,20.0,59,85.0,77.0,136.0,83,99.0,559.0,133.0
17,서울특별시 금천구,11545,20.0,70,141.0,32.0,144.0,83,67.0,557.0,134.0
63,경기도 의정부시,41150,100.0,85,66.0,60.0,145.0,51,48.0,555.0,135.0
51,광주광역시 북구,29170,180.0,94,12.0,35.5,131.0,55,45.0,552.5,136.0
86,강원도 원주시,42130,156.0,117,27.0,40.5,102.0,44,52.0,538.5,137.0
20,서울특별시 관악구,11620,20.0,31,122.0,40.5,164.0,114,46.0,537.5,138.0
45,인천광역시 계양구,28245,20.0,122,97.0,35.5,149.0,83,28.0,534.5,139.0
10,서울특별시 노원구,11350,20.0,38,163.0,47.5,159.0,38,66.0,531.5,140.0
78,경기도 김포시,41570,83.0,30,75.0,47.5,141.0,137,16.0,529.5,141.0
44,인천광역시 부평구,28237,20.0,77,123.0,47.5,151.0,60,47.0,525.5,142.0
11,서울특별시 은평구,11380,20.0,28,116.0,60.0,163.0,65,73.0,525.0,143.0
72,경기도 군포시,41410,20.0,10,157.0,47.5,155.0,103,29.0,521.5,144.0
167,경상남도 진주시,48170,104.0,104,33.0,54.5,118.0,38,69.0,520.5,145.0
28,부산광역시 해운대구,26350,93.0,77,64.0,32.0,137.0,34,79.0,516.0,146.0
59,울산광역시 남구,31140,171.0,155,14.0,5.5,117.0,30,18.0,510.5,147.0
65,경기도 광명시,41210,20.0,37,150.0,21.5,161.0,83,36.0,508.5,148.0
137,전라남도 화순군,46790,59.0,130,21.0,99.5,65.0,9,123.0,506.5,149.0
6,서울특별시 중랑구,11260,20.0,55,59.0,69.0,158.0,65,76.0,502.0,150.0
70,경기도 오산시,41370,20.0,111,55.0,26.5,143.0,137,6.0,498.5,151.0
48,광주광역시 동구,29110,145.5,127,13.0,21.5,85.0,5,95.0,492.0,152.0
