,행정구역,순위,취약인구 수(명),비율(%),시군구코드
160,경상북도 청도군,72.0,"14,960",0.48,47820
161,경상북도 고령군,160.0,"5,899",0.19,47830
162,경상북도 성주군,44.0,"10,768",0.34,47840
163,경상북도 칠곡군,149.0,"4,704",0.15,47850
164,경상북도 예천군,115.0,"26,623",0.85,47900
165,경상북도 봉화군,82.0,"16,733",0.53,47920
166,경상북도 울진군,79.0,"16,325",0.52,47930
167,경상남도 진주시,104.0,"22,061",0.7,48170
168,경상남도 통영시,176.0,"8,819",0.28,48220
169,경상남도 사천시,175.0,"8,482",0.27,48240
170,경상남도 김해시,162.0,"6,607",0.21,48250
171,경상남도 밀양시,98.0,"20,444",0.65,48270
172,경상남도 거제시,64.0,"13,234",0.42,48310
173,경상남도 양산시,127.0,"3,288",0.1,48330
174,경상남도 의령군,48.0,"11,459",0.36,48720
175,경상남도 함안군,45.0,"11,044",0.35,48730
176,경상남도 창녕군,58.0,"12,641",0.4,48740
177,경상남도 고성군,50.0,"11,779",0.37,48820
178,경상남도 남해군,90.0,"18,920",0.6,48840
179,경상남도 함양군,52.0,"11,893",0.38,48870
180,경상남도 거창군,56.0,"12,397",0.39,48880
181,경상남도 합천군,110.0,"22,985",0.73,48890
