행정구역,순위,취약인구 수(명),비율(%),시군구코드
서울특별시 은평구,176,0,0,11380
서울특별시 종로구,176,0,0,11110
대구광역시 서구,176,0,0,27170
서울특별시 중구,176,0,0,11140
대구광역시 수성구,176,46,0,27290
서울특별시 양천구,176,0,0,11470
대구광역시 중구,176,0,0,27110
인천광역시 서구,176,29,0,28260
인천광역시 부평구,176,0,0,28237
인천광역시 미추홀구,176,0,0,28177
인천광역시 동구,176,35,0,28200
인천광역시 남동구,176,0,0,28170
인천광역시 계양구,176,0,0,28245
울산광역시 남구,176,8,0,31140
서울특별시 중랑구,176,0,0,11260
서울특별시 강서구,176,0,0,11500
서울특별시 송파구,176,0,0,11710
대구광역시 달서구,176,5,0,27290
서울특별시 광진구,176,0,0,11215
경상남도 창원시 마산회원구,176,32,0,48127
경상남도 창원시 성산구,176,0,0,48123
서울특별시 구로구,176,0,0,11530
서울특별시 금천구,176,0,0,11545
서울특별시 노원구,176,0,0,11350
서울특별시 도봉구,176,0,0,11320
서울특별시 성북구,176,0,0,11290
서울특별시 동대문구,176,0,0,11230
서울특별시 마포구,176,0,0,11440
서울특별시 서대문구,176,0,0,11410
서울특별시 서초구,176,0,0,11650
광주광역시 동구,176,4,0,29110
서울특별시 성동구,176,0,0,11200
광주광역시 서구,176,0,0,29140
대구광역시 남구,176,0,0,27200
서울특별시 동작구,176,0,0,11590
대구광역시 북구,176,39,0,27230
